,"github.com/fernandod1""","github.com/Thiagolourenco""",github.com/souzaonofre,github.com/Aldengr123,github.com/leonelNoguera,"github.com/graterolz""","github.com/LeonardoASCouto""","github.com/jeffAntonis""","github.com/MomentoSystems""","github.com/allandiego""","github.com/marcolinolucas""",github.com/yenng,github.com/thaisacs,github.com/axelvillanueva,github.com/EduPras,"github.com/fabricio7p""",github.com/Combratec,"github.com/casjunior93""","github.com/rafaelsantanna""","github.com/MarceloHBoff""",github.com/vital-edu,"github.com/resultsystems""",github.com/phaalonso<,github.com/Bubex,"github.com/EladioRocha""","github.com/enricodias""","github.com/ferreirajonatas""",github.com/kivson,"github.com/viniciusalencardev""","github.com/hedcler""",github.com/institutotim,"github.com/Felipe-Castillo""",github.com/JeanCaEscalante,"github.com/feliperce""",github.com/Guilherme-SG,github.com/BrunoBatalha,"github.com/Lipe"">",github.com/racg211,"github.com/lcaresia"">",github.com/brunoparodi,"github.com/OnelinkGames""",github.com/tecactus,"github.com/aipi""","github.com/MarcosVMoreira""",github.com/brain-labs,"github.com/thenriquedb""",github.com/pagseguro,github.com/giuliano-oliveira,"github.com/viniciusaportela.""","github.com/Anonimy""","github.com/FernandoVT10.""","github.com/arianebrandao""",github.com/mauroWernly,"github.com/carlossantoswd""","github.com/rgcl"">",github.com/Joselsneto,github.com/alecgn,github.com/Daniel-tdl,"github.com/agustinruatta""",github.com/johnnyGabriel,"github.com/EmmanuelVinicius""","github.com/ethernity-live""","github.com/Liicano""","github.com/bruj0""",github.com/tsleolima,"github.com/ErickJoestar""","github.com/gabrielkling""","github.com/gocoredev""","github.com/YuriSamuka""","github.com/JocinardoRodrigues""","github.com/BrunoAlencar""","github.com/cleberazevedo""",github.com/clever-lang,"github.com/pedroviniciusf""","github.com/mikaelhadler""","github.com/MiguelZero""",,github.com/feresr,github.com/SamillyNunes,"github.com/gabselbach""",github.com/joalcapa,"github.com/abhi7054""",github.com/jesussandrea12,github.com/DanielBrena,github.com/Samsung,"github.com/shoxsz""","github.com/pponto"">","github.com/petehouston""","github.com/arma7x"">","github.com/caglankaan"">","github.com/AnilKOC"">",github.com/viveky259259,github.com/starmaster1126,"github.com/bobbywillia..."">",github.com/vishnumanikantan,"github.com/gurbuzertunga""","github.com/hakinamz?tab=repositories""",github.com/codenoid,"github.com/jhmachado.""","github.com/Leon"">",github.com/EraOfCoding,"github.com/nite"">","github.com/sdey0081""","github.com/Leekwanmeng""",github.com/SarthSharma,"github.com/vanthienpc""","github.com/Maulik0001""",github.com/pires12,github.com/broto76,github.com/zafar-saleem,"github.com/princeparmar""","github.com/ReyFuertes?tab=repositories""","github.com/Zuiluj""",github.com/StarkLiew,github.com/sumitdas4u,"github.com/michaellee8""",github.com/smithhan,"github.com/bachzz""","github.com/wkitsin""","github.com/ansh-bajaj""","github.com/alidavid0418""",github.com/Sumanth-143,"github.com/ashwaniarya""","github.com/gagsy""","github.com/manoj-singh-developer""","github.com/RezaAlif.""",github.com/atiqurrehman123,"github.com/danialrahman""","github.com/klnsz""","github.com/parth967"""
PHP,5629.0,,4029.0,34.0,,153101.0,,,4.0,0.0,,,,15224.0,,,,,0.0,,,0.0,,4465.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,,,,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,,0.0,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,,,,0.0,,
MySQL,893.0,,,0.0,,62734.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,,,,0.0,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,,
JavaScript,703.0,,20957.0,27.0,7593.0,467638.0,,,0.0,75.0,1067.0,,0.0,313.0,,0.0,,,0.0,14280.0,,0.0,,387741.0,25003.0,,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,,0.0,
HTML,10460.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
WordPress,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
CSS,14700.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
API,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,
Python,179.0,,0.0,,4311.0,231.0,0.0,,,,,791.0,,,,0.0,0.0,,,,,,1058.0,,,,,0.0,,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,0.0,
Laravel,0.0,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
Bootstrap,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ver menos,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,,0.0,,,0.0,,0.0,,,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
React Native,,0.0,,,,,,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
React.js,,0.0,0.0,,,,,387.0,,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,
Node.js,,0.0,0.0,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,0.0,,,,,,0.0,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,
HTML5,,,0.0,524.0,212.0,182740.0,,,,,,,0.0,,561.0,0.0,,22788.0,,,,,,11609.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0
Ruby on Rails,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruby,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Android,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,0.0
CakePHP,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Django,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vue.js,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,
Java,,,0.0,,4692.0,,,,,,,,,,,,,,,,,,2866.0,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Opencart,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electron,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSS3,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,
Design Gráfico,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adobe Illustrator,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adobe Photoshop,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desenvolvimento Web,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
SQL,,,,,,62734.0,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oracle,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQL Server,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linux,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL/SQL,,,,,,62734.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Programação de Games,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desenvolvimento de Games,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBA,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lojas Virtuais (e-commerce),,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEO,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jQuery,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pentaho,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C++,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
JIRA,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LESS/SASS/SCSS,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MongoDB,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSD to HTML,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
